max_altitude,rise_azimuth,set_azimuth,archived,experimental,year,station_lat,station_lng,station_alt,horizon,station_status,duration_seconds,hour_of_day,day_of_week,month,day_of_year,week_of_year,altitude_squared,altitude_log,hour_sin,hour_cos,month_sin,month_cos,abs_latitude,true_label,predicted_label,error_type
34.0,203.0,321.0,1,0,2024,33.6452,-111.9803,347,15,0,433.0,6,0,11,309,45,1156.0,3.555348061489413,1.0,6.123233995736766e-17,-0.5000000000000004,0.8660254037844384,33.6452,1.0,0.0,False Negative
28.0,354.0,235.0,1,0,2024,52.465,-2.603,390,0,2,380.0,11,5,3,90,13,784.0,3.367295829986474,0.258819045102521,-0.9659258262890682,1.0,6.123233995736766e-17,52.465,1.0,0.0,False Negative
6.0,288.0,212.0,0,0,2025,47.917,19.895,954,0,2,440.0,0,2,11,316,46,36.0,1.9459101490553128,0.0,1.0,-0.5000000000000004,0.8660254037844384,47.917,1.0,0.0,False Negative
50.0,28.0,171.0,1,0,2023,45.419841,-73.464994,15,16,1,498.0,10,6,12,351,50,2500.0,3.9318256327243257,0.4999999999999999,-0.8660254037844387,-2.4492935982947064e-16,1.0,45.419841,1.0,0.0,False Negative
36.0,242.0,95.0,1,0,2023,53.64774,-6.67057,45,0,0,875.0,13,6,12,344,49,1296.0,3.610917912644224,-0.2588190451025208,-0.9659258262890684,-2.4492935982947064e-16,1.0,53.64774,1.0,0.0,False Negative
60.0,173.0,344.0,0,0,2025,55.27,-7.24,10,10,0,700.0,1,2,8,232,34,3600.0,4.110873864173311,0.2588190451025207,0.9659258262890684,-0.8660254037844385,-0.5000000000000004,55.27,0.0,1.0,False Positive
67.0,172.0,344.0,1,1,2023,40.247089,-111.647828,1435,30,0,913.0,23,3,9,250,36,4489.0,4.219507705176107,-0.2588190451025215,0.965925826289068,-1.0,-1.8369701987210294e-16,40.247089,0.0,1.0,False Positive
68.0,9.0,213.0,1,0,2024,63.854,20.208,35,10,2,180.0,10,3,1,11,2,4624.0,4.23410650459726,0.4999999999999999,-0.8660254037844387,0.4999999999999999,0.8660254037844387,63.854,0.0,1.0,False Positive
71.0,285.0,44.0,1,0,2025,40.164,-105.093,1626,0,2,180.0,7,4,1,31,5,5041.0,4.276666119016055,0.9659258262890684,-0.2588190451025206,0.4999999999999999,0.8660254037844387,40.164,0.0,1.0,False Positive
38.0,182.0,341.0,1,0,2024,42.09,1.859,625,15,0,628.0,1,4,2,47,7,1444.0,3.6635616461296463,0.2588190451025207,0.9659258262890684,0.8660254037844386,0.5000000000000001,42.09,0.0,1.0,False Positive
86.0,166.0,346.0,1,0,2024,51.4962,11.9706,110,10,2,454.0,21,1,2,58,9,7396.0,4.465908118654584,-0.7071067811865477,0.7071067811865474,0.8660254037844386,0.5000000000000001,51.4962,0.0,1.0,False Positive
77.0,14.0,190.0,1,0,2024,42.4557,-71.2279,70,30,2,762.0,15,4,9,250,36,5929.0,4.356708826689592,-0.7071067811865471,-0.7071067811865479,-1.0,-1.8369701987210294e-16,42.4557,1.0,0.0,False Negative
58.0,189.0,323.0,1,0,2024,63.854,20.208,35,10,2,180.0,0,3,2,39,6,3364.0,4.07753744390572,0.0,1.0,0.8660254037844386,0.5000000000000001,63.854,0.0,1.0,False Positive
